Transitions correctness: true

Transitions (193):
ff4c35c07125c0d40cb6efec7ed7eaa850730eb4142f06b53a404a8df5ba758c: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:c66b8b47671d5efcb5af1ac7948f4bd285161b2ad7ce7de7172e01aab1463b37): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=4.0 ds=TR sc=null ex=2

c5f070dbf48b0c6ca1e4b9dd4131afe5aba48f8cd1434a5f6628558353f18fc5: (s:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f,t:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f): [id=14, ex=0, sq=15, act=(1) long click, cp=[, ty=ImageView, idx=recent_apps, idnx=2, tx=, x=739, y=1794, h=126, w=210, dsc=Overview], txt=, exp=, tr=null] weight=1.0 ds=CS sc=org.gnucash.android.Bottom_Up.Expected..1.org.gnucash.android_2.2.0_15_augmented.png ex=0
721fea83d07bd1d787d736415d8a137f850ede36072b25fb91ff498a523e4012: (s:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f,t:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f): [id=15, ex=0, sq=16, act=(0) click, cp=[, ty=ImageView, idx=home, idnx=1, tx=, x=435, y=1794, h=126, w=210, dsc=Home], txt=, exp=, tr=null] weight=1.0 ds=CS sc=org.gnucash.android.Bottom_Up.Expected..1.org.gnucash.android_2.2.0_16_augmented.png ex=0
3690ae03ca62ec7dc090dae37a29aaf1e44dd3285b171c0ffc2f2af976bee4a4: (s:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f,t:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f): [id=16, ex=0, sq=17, act=(1) long click, cp=[, ty=ImageView, idx=home, idnx=1, tx=, x=435, y=1794, h=126, w=210, dsc=Home], txt=, exp=, tr=null] weight=1.0 ds=CS sc=org.gnucash.android.Bottom_Up.Expected..1.org.gnucash.android_2.2.0_17_augmented.png ex=0
dc3de13999669317059d6e1dcff2114b237183da45f8edaeb7fae6f3f66b0368: (s:432afa7b1605924426583beb78fa1bec92870e01f6bf5fc45b5dc9308a668c0f,t:c66b8b47671d5efcb5af1ac7948f4bd285161b2ad7ce7de7172e01aab1463b37): [id=17, ex=0, sq=18, act=(0) click, cp=[, ty=ImageView, idx=back, idnx=0, tx=, x=131, y=1794, h=126, w=210, dsc=Back], txt=, exp=, tr=null] weight=1.0 ds=CS sc=org.gnucash.android.Bottom_Up.Expected..1.org.gnucash.android_2.2.0_18_augmented.png ex=0

5a50592473c4e240cca778aef78fb407a98df837335f92cf1fba732b859f2887: (s:74184bfda969e6703140a84dc824a3f25845fd1d8125b51b3069f66bb4e205bb,t:42f2aceb7c0a265aaf6aa0898e8034e7cc1a47d015f48fb5b9ac9f0750f44f5a): [id=2, ex=0, sq=3, act=(0) click, cp=[, ty=Button, idx=btn_cancel, idnx=2, tx=Back, x=0, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=1.0 ds=CS sc=org.gnucash.android.Bottom_Up.Expected..1.org.gnucash.android_2.2.0_3_augmented.png ex=0
6560da6dd3acc2865884957b5a77dfcd68c41049d50f42d60fc75e505953e7cc: (s:74184bfda969e6703140a84dc824a3f25845fd1d8125b51b3069f66bb4e205bb,t:e8b0447ef14c0931051c4f92f734ae20f4b365271913b60dcdccb6b7a4c33cf3): [id=2, ex=0, sq=3, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=3, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=4.0 ds=TR sc=org.gnucash.android.User-Trace.3.org.gnucash.android_2.2.0_gnucash3_augmented.png ex=2

fc6f9f4e36df62d8f09637da24d07faa08df7d80e5e91c360545b6b448a3a1a9: (s:e8b0447ef14c0931051c4f92f734ae20f4b365271913b60dcdccb6b7a4c33cf3,t:e8b0447ef14c0931051c4f92f734ae20f4b365271913b60dcdccb6b7a4c33cf3): [id=3, ex=1, sq=4, act=(0) click, cp=[, ty=CheckedTextView, idx=text1, idnx=0, tx=Automatically send crash reports, x=42, y=429, h=126, w=985, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.2.org.gnucash.android_2.2.0_gnucash4_augmented.png ex=1
600bab13a884bf66ec629dd6b55d6783bb12cc8a4caa374c79b30761e1a93279: (s:e8b0447ef14c0931051c4f92f734ae20f4b365271913b60dcdccb6b7a4c33cf3,t:e8b0447ef14c0931051c4f92f734ae20f4b365271913b60dcdccb6b7a4c33cf3): [id=3, ex=0, sq=4, act=(0) click, cp=[, ty=CheckedTextView, idx=text1, idnx=1, tx=Disable crash reports, x=42, y=558, h=126, w=985, dsc=], txt=, exp=, tr=null] weight=3.0 ds=TR sc=org.gnucash.android.User-Trace.3.org.gnucash.android_2.2.0_gnucash4_augmented.png ex=2
