Transitions correctness: true

Transitions (271):
d03a45f91f406aa359971050d0313e2f71e897f8fd79bf6436d1e074b8066886: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:7a79cb19b894de7fec3a2acfe84bc0c32d9c02fbff8a9f4807313349ecc173ea): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=1.0 ds=CS sc=null ex=0
cb054c8bc9643feb912042c1b84be09a684f09047f79c08e52ee15d83426d98f: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:8a0989d52532b67b2bb0844a359fcd554c181be1166882c9a54b95987999d863): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=0
49cfae62da025ba711eaee11e1b900ba2103a1adfa41130d97ca5f044e7b8974: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:653507b3b83829241b2870896117a9f20e211f27e6e887f47e1f6a727260e8cf): [id=null, ex=1, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=1

0fbb7a5855cbaca4f665fb387895aef249072e0ac5c80d8f7ae17cb178366e0a: (s:75f2c4a0f1f614a261bbc9819811bc5f48b8b3f42d3dc54b946d826fabf2e949,t:79aae1aa34453be848fa143cecb79c6c2a7e6a2defede0e849be79e5189af984): [id=11, ex=1, sq=12, act=(0) click, cp=[, ty=TextView, idx=time, idnx=10, tx=07:30, x=0, y=1281, h=102, w=87, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201512_augmented.png ex=1

463fc45931f203c565143226f3c172cdc132660303d88a2c82128abd146dff48: (s:79aae1aa34453be848fa143cecb79c6c2a7e6a2defede0e849be79e5189af984,t:a1f06aa5b681a3b8705e9046b88a9ac402d776af15da3c89858f466cd0456dc5): [id=12, ex=1, sq=13, act=(0) click, cp=[, ty=KeyButtonView, idx=BACK_MODAL, idnx=0, tx=, x=641, y=131, h=0, w=0, ], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201513_augmented.png ex=1

fc29aa113855a311361a8befd7fc9a3dcf0670026e9291eb43d8300d59899d8a: (s:a1f06aa5b681a3b8705e9046b88a9ac402d776af15da3c89858f466cd0456dc5,t:0f019f70ed711781a0ec444edf5bd231fd9bebf8d0bf3c17ad87dd716c2871bf): [id=13, ex=1, sq=14, act=(0) click, cp=[, ty=TextView, idx=text1, idnx=4, tx=Day 5, x=385, y=577, h=126, w=175, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201514_augmented.png ex=1

e903b817519591bc194acfa283f63a77754cfc59a3954d8e3dcfceb636c26c77: (s:0f019f70ed711781a0ec444edf5bd231fd9bebf8d0bf3c17ad87dd716c2871bf,t:1d5a028ca775dff709ea3cd59a67000324f88d5abdd980f8c1c044cb857d1c58): [id=14, ex=1, sq=15, act=(22) swipe down, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201515_augmented.png ex=1

87069bfec2177ccd5811ef6113888a74aca94eeb046a62d4bfac7c20561a8de0: (s:1d5a028ca775dff709ea3cd59a67000324f88d5abdd980f8c1c044cb857d1c58,t:ffa9b60b348b7fa0df2f85f31b681bf5d72254ff3813773f6ee6332b3419d2bc): [id=15, ex=1, sq=16, act=(0) click, cp=[, ty=TextView, idx=item_fav, idnx=2, tx=, x=723, y=73, h=126, w=126, dsc=Add to favorites], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201516_augmented.png ex=1

a265c0932263390f5448dda4efa087cef43563e5982f1ce2f102d06dfbc51abb: (s:ffa9b60b348b7fa0df2f85f31b681bf5d72254ff3813773f6ee6332b3419d2bc,t:eb11e43fb68de36fde35b98680b866cdc44aca80736896e3c983dde1de1c1c87): [id=16, ex=1, sq=17, act=(0) click, cp=[, ty=KeyButtonView, idx=BACK_MODAL, idnx=0, tx=, x=102, y=147, h=0, w=0, ], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201517_augmented.png ex=1


3e4b0821d9acb052b86b554fa9605f4bf4010e8c77dd4d55b505940c413c2a59: (s:b683132aaf26d20ed2769ccbb4b7232307fc59fb6e7fdd0ea55bdb3ec5deefbb,t:b683132aaf26d20ed2769ccbb4b7232307fc59fb6e7fdd0ea55bdb3ec5deefbb): [id=8, ex=1, sq=9, act=(5) type, cp=[, ty=EditText, idx=edit, idnx=0, tx=, x=123, y=854, h=118, w=834, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20159_augmented.png ex=1
270d492dc82eb9fc61ec84b8fb52f0254c4913658671c62ccbd17fb82f9b95cc: (s:b683132aaf26d20ed2769ccbb4b7232307fc59fb6e7fdd0ea55bdb3ec5deefbb,t:8b0a5c079c39064d6aff8067c37a78accf3a278cabacb73ebc8063cd23c315a9): [id=9, ex=1, sq=10, act=(0) click, cp=[, ty=Button, idx=button2, idnx=0, tx=CANCEL, x=608, y=1036, h=126, w=202, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp201510_augmented.png ex=1

e0ed266750bd83d6259fb03d8142295722b7f06375279b8cdc39a97ce07257ab: (s:19be4e5ebd2a76eba2f229019f05bb023f119cf13b93f9e0c90af7d745923486,t:9c19c79ca6cd87314c214368ccfcb6020382066f23a003aa3047fb9fa029c438): [id=3, ex=1, sq=4, act=(0) click, cp=[, ty=ImageView, idx=back, idnx=1, tx=, x=131, y=1794, h=126, w=210, dsc=Back], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.2.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20154_augmented.png ex=1

1c286279f0ebec5be382f8715e808f27bb46053640a2924b1789872cd365c338: (s:8a0989d52532b67b2bb0844a359fcd554c181be1166882c9a54b95987999d863,t:d417308933722e61a29b2ab3f894eb1c0f7a8e964b6393a17698e518961743c1): [id=0, ex=0, sq=1, act=(0) click, cp=[, ty=HorizontalScrollView, idx=horizScroller, idnx=56, tx=, x=87, y=261, h=1533, w=993, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20151_augmented.png ex=0

df6c138a10db4c1609a09624729f62d63adf20b7866fab61c256107fa07d137c: (s:d417308933722e61a29b2ab3f894eb1c0f7a8e964b6393a17698e518961743c1,t:9a08525313e4af818083ca92ca2d40538f5b614fdc94a1aefb634c6a8d9ac669): [id=1, ex=0, sq=2, act=(0) click, cp=[, ty=TextView, idx=item_fav, idnx=2, tx=, x=723, y=73, h=126, w=126, dsc=Add to favorites], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20152_augmented.png ex=0

db608b362010ea08c04d73fdb2a09ec8dea00f39e952391545345772d7a0cb7c: (s:9a08525313e4af818083ca92ca2d40538f5b614fdc94a1aefb634c6a8d9ac669,t:7aa9a0fe7e9b340eb11fe4c0f4f829c35f4d770436e8fba3b85aebededa335df): [id=2, ex=0, sq=3, act=(0) click, cp=[, ty=KeyButtonView, idx=BACK_MODAL, idnx=0, tx=, x=76, y=149, h=0, w=0, ], txt=, exp=, tr=null] weight=2.0 ds=TR sc=nerd.tuxmobil.fahrplan.camp.User-Trace.1.nerd.tuxmobil.fahrplan.camp_1.32.2_camp20153_augmented.png ex=0
